id_venta,fecha,ciudad,categoria,producto,unidades,precio_unitario,descuento_pct,total,metodo_pago,calificacion_cliente
V-1049,27/03/2026,Medellin,perifericos,Monitor 27 pulgadas,8,1090000,30,6104000,Tarjeta credito,2
V-1059,2026-05-05,Bucaramanga,Audio,Audifonos bluetooth,3,349000,11,931830,Tarjeta debito,5
V-1268,11-02-2026,Bucaramanga,Perifericos,Monitor 27 pulgadas,9,1090000,26,7259400,Transferencia,5
V-1293,2026-06-13,  BARRANQUILLA ,Perifericos,Mouse inalambrico,7,96000,20,537600,Transferencia,5
V-1256,2026-04-28,Bucaramanga,Perifericos,Mouse inalambrico,7,96000,18,551040,Transferencia,5
V-1044,2026-03-27,  CALI ,Perifericos,Monitor 27 pulgadas,5,1090000,14,4687000,PSE,5
V-1014,2026-04-01,Barranquilla,computadores,Portatil gamer,8,4890000,22,30513600,TARJETA CREDITO,4
V-1075,2026-09-05,Bucaramanga,Accesorios,Maletin para portatil,11,169000,39,1133990,PSE,4
V-1375,09-01-2026,Cali,perifericos,Monitor 27 pulgadas,6,1090000,23,$ 5.035.800,Efectivo,4
V-1041,2026-04-02,Bucaramanga,Computadores,Portatil gamer,5,4890000,17,$ 20.293.500,TARJETA DEBITO,5
V-1202,2026-01-25,  CARTAGENA ,Audio,Audifonos bluetooth,5,349000,20,1396000,PSE,
V-1033,2026-05-30,Bucaramanga,Accesorios,Maletin para portatil,3,169000,0,507000,PSE,5
V-1315,2026-07-02,Pereira,Accesorios,Cargador universal,7,119000,26,616420,Efectivo,4
V-1248,17-04-2026,Pereira,Audio,Parlante portatil,9,259000,28,$ 1.678.320,Transferencia,5
V-1241,2026-06-19,Barranquilla,Perifericos,Mouse inalambrico,3,96000,8,264960,Tarjeta credito,5
V-1434,10-03-2026,  CALI ,Computadores,Todo en uno 24,2,2190000,4,4204800,Efectivo,3
V-1416,2026-01-07,Bogota,Perifericos,Monitor 27 pulgadas,2,1090000,3,2114600,Tarjeta debito,4
V-1344,2026-06-22,Pereira,Perifericos,Teclado mecanico,7,289000,10,1820700,Efectivo,3
V-1121,2026-01-15,Cartagena,Almacenamiento,Memoria USB 128 GB,9,79000,29,504810,TRANSFERENCIA,4
V-1071,05/04/2026,Medellin,Computadores,Todo en uno 24,9,,22,$ 15.373.800,PSE,4
V-1243,2026-05-03,Bucaramanga,Audio,Microfono USB,5,419000,9,1906450,Tarjeta credito,4
V-1184,2026-01-16,Bucaramanga,Accesorios,Maletin para portatil,6,169000,24,770640,Tarjeta credito,5
V-1450,2026-08-29,Cartagena,Computadores,Portatil 14 pulgadas,3,2450000,4,7056000,Tarjeta credito,3
V-1224,2026-08-29,Bogota,Accesorios,Cargador universal,7,119000,16,699720,PSE,3
V-1235,2026-07-28,Cali,Audio,Microfono USB,9,419000,25,2828250,Tarjeta debito,4
V-1339,2026-01-09,Bogota,Almacenamiento,Disco SSD 1 TB,-3,389000,14,1003620,Tarjeta credito,3
V-1366,2026-02-14,Medellin,Computadores,Todo en uno 24,-7,2190000,24,11650800,Efectivo,3
V-1240,2026-03-02,  BARRANQUILLA ,Perifericos,Teclado mecanico,-8,289000,27,1687760,Tarjeta credito,4
V-1427,27-05-2026,Medellin,Computadores,Todo en uno 24,9,2190000,24,14979600,Tarjeta credito,3
V-1179,2026-06-23,  PEREIRA ,Computadores,Portatil gamer,8,4890000,27,28557600,PSE,3
V-1439,2026-08-25,Medellin,accesorios,Base refrigerante,6,139000,11,742260,Efectivo,4
V-1397,2026-04-24,Cartagena,Accesorios,Maletin para portatil,1,169000,1,2007720,PSE,4
V-1480,2026-05-03,Bucaramanga,Perifericos,Mouse inalambrico,6,$96.000,18,472320,EFECTIVO,3
V-1441,2026-08-02,  MEDELLIN ,Computadores,Portatil 14 pulgadas,2,2450000,0,4900000,Efectivo,5
V-1083,2026-02-08,  BOGOTA ,Accesorios,Base refrigerante,5,139000,11,618550,Tarjeta credito,4
V-1320,2026-05-04,Cartagena,Computadores,Portatil gamer,6,4890000,11,,Transferencia,4
V-1036,2026-03-30,Bucaramanga,accesorios,Base refrigerante,3,139000,3,,TRANSFERENCIA,4
V-1314,2026-02-28,Cartagena,perifericos,Monitor 27 pulgadas,2,1090000,9,1983800,Transferencia,4
V-1149,28/07/2026,Barranquilla,Perifericos,Monitor 27 pulgadas,9,1090000,27,7161300,TARJETA CREDITO,3
V-1064,2026-05-09,Cali,Almacenamiento,Memoria USB 128 GB,6,79000,17,393420,Efectivo,5
V-1138,2026-08-23,Pereira,Almacenamiento,Memoria USB 128 GB,13,79000,40,616200,Tarjeta debito,3
V-1477,2026-02-14,Medellin,Computadores,Portatil gamer,5,4890000,16,$ 20.538.000,Transferencia,4
V-1369,2026-06-18,  BARRANQUILLA ,Accesorios,Cargador universal,3,119000,11,317730,Tarjeta credito,4
V-1205,2026-01-22,Bucaramanga,Audio,Parlante portatil,7,,12,1595440,Tarjeta debito,3
V-1411,2026-02-09,Bogota,Computadores,Portatil gamer,4,4890000,11,,Tarjeta credito,5
V-1346,19/01/2026,Bucaramanga,Perifericos,Mouse inalambrico,-3,96000,2,282240,Efectivo,4
V-1022,04/07/2026,Cali,Almacenamiento,Disco SSD 1 TB,7,$389.000,25,2042250,Transferencia,4
V-1106,2026-03-13,  MEDELLIN ,Audio,Audifonos bluetooth,7,349000,38,1514660,Tarjeta credito,3
V-1121,2026-01-15,Cartagena,Almacenamiento,Memoria USB 128 GB,9,79000,29,504810,TRANSFERENCIA,4
V-1245,2026-02-15,Cartagena,Perifericos,Monitor 27 pulgadas,11,1090000,36,7673600,Efectivo,5
V-1421,17/03/2026,Medellin,Audio,Microfono USB,6,419000,11,2237460,Tarjeta debito,5
V-1109,22-04-2026,  MEDELLIN ,Audio,Audifonos bluetooth,7,349000,14,2100980,PSE,4
V-1152,20/07/2026,  CALI ,Audio,Parlante portatil,1,259000,0,259000,PSE,4
V-1031,2026-03-27,Cali,Accesorios,Base refrigerante,6,139000,20,667200,EFECTIVO,4
V-1080,2026-03-27,Bucaramanga,Audio,Microfono USB,6,419000,26,,Transferencia,4
V-1452,2026-01-29,Pereira,Audio,Microfono USB,5,419000,15,1780750,PSE,
V-1300,2026-03-04,Medellin,Accesorios,Cargador universal,4,119000,4,$ 456.960,PSE,5
V-1252,2026-04-30,Medellin,Almacenamiento,Disco SSD 1 TB,5,389000,8,1789400,Tarjeta debito,4
V-1034,2026-08-17,Medellin,Accesorios,Maletin para portatil,7,169000,12,1041040,EFECTIVO,5
V-1389,15/07/2026,Medellin,Accesorios,Maletin para portatil,7,169000,21,$ 934.570,PSE,4
V-1210,25-02-2026,Pereira,Accesorios,Base refrigerante,5,139000,14,597700,EFECTIVO,4
V-1139,2026-04-01,  CALI ,Perifericos,Mouse inalambrico,5,96000,13,$ 417.600,Tarjeta credito,4
V-1044,2026-03-27,  CALI ,Perifericos,Monitor 27 pulgadas,5,1090000,14,4687000,PSE,5
V-1423,12/04/2026,Medellin,Perifericos,Monitor 27 pulgadas,8,1090000,22,6801600,Tarjeta debito,4
V-1447,2026-01-07,Bogota,Almacenamiento,Disco SSD 1 TB,8,389000,28,2240640,Transferencia,3
V-1079,2026-04-16,Cartagena,Audio,Parlante portatil,4,259000,10,932400,Transferencia,5
V-1066,2026-04-10,Bucaramanga,Perifericos,Mouse inalambrico,7,96000,23,517440,Tarjeta credito,4
V-1051,27/08/2026,Bogota,Accesorios,Base refrigerante,4,139000,5,528200,Tarjeta debito,5
V-1157,25/02/2026,Bogota,Accesorios,Cargador universal,11,,40,785400,PSE,3
V-1323,2026-01-10,Bucaramanga,accesorios,Maletin para portatil,5,169000,8,777400,Tarjeta credito,3
V-1269,2026-06-05,Cartagena,Perifericos,Monitor 27 pulgadas,10,1090000,38,6758000,PSE,5
V-1201,2026-02-04,Barranquilla,Computadores,Todo en uno 24,7,$2.190.000,19,12417300,PSE,5
V-1174,2026-04-14,  PEREIRA ,Audio,Audifonos bluetooth,8,349000,23,$ 2.149.840,Transferencia,3
V-1145,02/08/2026,Bucaramanga,Accesorios,Base refrigerante,8,139000,18,911840,Tarjeta debito,2
V-1183,2026-05-02,  BUCARAMANGA ,Audio,Microfono USB,7,419000,29,2082430,Tarjeta credito,4
V-1289,2026-06-25,Bucaramanga,Audio,Parlante portatil,5,259000,22,1010100,Tarjeta credito,4
V-1171,2026-03-04,Bogota,Accesorios,Cargador universal,7,119000,23,$ 641.410,Tarjeta debito,4
V-1343,07-05-2026,Cartagena,perifericos,Mouse inalambrico,6,96000,15,489600,PSE,3
V-1128,2026-05-12,  MEDELLIN ,Computadores,Portatil gamer,7,4890000,19,,Efectivo,5
V-1093,25-07-2026,Medellin,Accesorios,Cargador universal,4,119000,13,414120,Transferencia,3
V-1207,2026-04-24,Cali,Perifericos,Teclado mecanico,11,289000,31,2193510,Transferencia,4
V-1129,2026-08-29,  BARRANQUILLA ,Perifericos,Mouse inalambrico,3,96000,8,$ 264.960,Efectivo,3
V-1150,2026-02-02,Medellin,Perifericos,Mouse inalambrico,6,96000,19,$ 466.560,Transferencia,2
V-1230,2026-05-03,Cartagena,Accesorios,Maletin para portatil,7,169000,23,910910,PSE,5
V-1236,2026-06-07,Cartagena,Audio,Microfono USB,1,419000,0,419000,TARJETA CREDITO,4
V-1015,2026-02-02,Barranquilla,Accesorios,Cargador universal,4,119000,9,433160,Tarjeta debito,3
V-1285,2026-07-09,  BARRANQUILLA ,Perifericos,Monitor 27 pulgadas,8,1090000,28,6278400,TARJETA CREDITO,3
V-1360,2026-04-27,Barranquilla,Almacenamiento,Memoria USB 128 GB,5,79000,18,323900,Efectivo,3
V-1257,2026-07-14,  CALI ,Audio,Parlante portatil,7,259000,29,1287230,Tarjeta debito,4
V-1086,18-08-2026,Cartagena,Accesorios,Cargador universal,8,119000,27,694960,Transferencia,4
V-1412,25/01/2026,Bogota,Perifericos,Teclado mecanico,8,289000,26,1710880,Tarjeta debito,4
V-1191,06/06/2026,Bucaramanga,Accesorios,Cargador universal,4,,13,414120,PSE,3
V-1060,04-02-2026,Medellin,Computadores,Portatil 14 pulgadas,9,2450000,29,15655500,Transferencia,
V-1226,26/08/2026,  MEDELLIN ,Computadores,Todo en uno 24,6,2190000,14,11300400,Efectivo,4
V-1228,2026-01-05,Bogota,Accesorios,Maletin para portatil,-7,169000,17,981890,PSE,4
V-1419,26-07-2026,Barranquilla,Audio,Audifonos bluetooth,7,349000,24,1856680,Efectivo,4
V-1162,07/07/2026,Cali,Perifericos,Mouse inalambrico,6,96000,17,$ 5.736.960,Transferencia,4
V-1088,2026-02-03,Medellin,Accesorios,Maletin para portatil,9,169000,40,$ 912.600,Tarjeta debito,4
V-1087,2026-07-23,Medellin,Computadores,Todo en uno 24,1,2190000,0,2190000,Transferencia,3
V-1303,2026-01-23,Pereira,Perifericos,Mouse inalambrico,4,96000,8,353280,Tarjeta debito,5
V-1437,2026-02-27,  CARTAGENA ,Accesorios,Cargador universal,4,$119.000,9,433160,Tarjeta debito,4
V-1227,2026-06-26,Cartagena,Perifericos,Teclado mecanico,2,289000,0,578000,Transferencia,4
V-1307,2026-01-26,Medellin,Accesorios,Base refrigerante,4,,9,505960,Efectivo,5
V-1279,2026-01-11,Bogota,Computadores,Portatil gamer,3,4890000,10,13203000,Tarjeta debito,3
V-1288,11/04/2026,  CALI ,Audio,Microfono USB,4,419000,10,$ 1.508.400,Tarjeta debito,5
V-1007,12/05/2026,Cartagena,Computadores,Portatil gamer,2,4890000,0,9780000,Tarjeta credito,3
V-1085,12/01/2026,Medellin,Perifericos,Monitor 27 pulgadas,7,1090000,26,5646200,PSE,4
V-1332,2026-06-14,Barranquilla,accesorios,Cargador universal,7,119000,25,7497000,Tarjeta credito,5
V-1277,2026-06-22,Medellin,Accesorios,Maletin para portatil,4,169000,20,,PSE,5
V-1200,2026-07-05,Cartagena,Audio,Audifonos bluetooth,6,$349.000,20,1675200,Tarjeta debito,4
V-1229,2026-07-02,  BUCARAMANGA ,Almacenamiento,Disco SSD 1 TB,9,389000,31,2415690,Efectivo,4
V-1394,2026-05-09,  BUCARAMANGA ,Computadores,Portatil gamer,6,4890000,19,23765400,Transferencia,3
V-1232,09/09/2026,Cartagena,accesorios,Base refrigerante,9,139000,25,938250,TARJETA DEBITO,5
V-1146,2026-08-26,  PEREIRA ,Almacenamiento,Disco SSD 1 TB,8,$389.000,25,2334000,Tarjeta credito,4
V-1137,2026-08-11,Pereira,Perifericos,Teclado mecanico,4,289000,17,959480,Tarjeta credito,4
V-1139,2026-04-01,  CALI ,Perifericos,Mouse inalambrico,5,96000,13,$ 417.600,Tarjeta credito,4
V-1163,17/02/2026,Cartagena,Accesorios,Cargador universal,6,$119.000,17,7111440,Tarjeta credito,5
V-1123,2026-07-07,Bogota,Perifericos,Teclado mecanico,3,289000,13,$ 754.290,PSE,4
V-1321,2026-05-09,  PEREIRA ,Audio,Audifonos bluetooth,2,349000,5,,TARJETA CREDITO,3
V-1104,13-08-2026,Bogota,Accesorios,Cargador universal,3,$119.000,12,314160,EFECTIVO,5
V-1092,2026-04-17,Cali,computadores,Portatil gamer,6,4890000,18,$ 24.058.800,Efectivo,4
V-1290,2026-06-29,Bogota,Perifericos,Teclado mecanico,4,289000,13,1005720,Tarjeta credito,4
V-1401,19-06-2026,Cartagena,Perifericos,Mouse inalambrico,3,96000,0,288000,Tarjeta debito,4
V-1413,28/05/2026,Cartagena,Computadores,Portatil 14 pulgadas,9,2450000,31,15214500,Efectivo,4
V-1186,2026-06-14,Pereira,Accesorios,Base refrigerante,8,139000,21,878480,Efectivo,
V-1362,22/02/2026,Cartagena,Audio,Microfono USB,4,419000,6,1575440,Transferencia,5
V-1078,26/08/2026,Pereira,Computadores,Todo en uno 24,4,2190000,14,$ 7.533.600,PSE,5
V-1368,2026-07-13,Barranquilla,Almacenamiento,Disco SSD 1 TB,8,389000,32,2116160,Efectivo,5
V-1070,2026-06-05,Pereira,perifericos,Monitor 27 pulgadas,6,1090000,20,5232000,Tarjeta credito,3
V-1112,2026-09-05,Cali,Perifericos,Mouse inalambrico,8,$96.000,19,$ 622.080,Efectivo,4
V-1196,2026-06-07,  BARRANQUILLA ,Computadores,Portatil 14 pulgadas,9,2450000,30,15435000,Efectivo,4
V-1280,2026-05-15,Bogota,Accesorios,Maletin para portatil,6,169000,9,922740,Efectivo,5
V-1399,30/08/2026,Medellin,Audio,Parlante portatil,5,259000,10,1165500,PSE,5
V-1454,2026-03-24,Bogota,Computadores,Portatil gamer,10,4890000,37,$ 30.807.000,Tarjeta credito,4
V-1143,2026-06-04,Pereira,Perifericos,Mouse inalambrico,10,96000,31,662400,Tarjeta credito,4
V-1407,2026-05-12,Pereira,Computadores,Todo en uno 24,8,2190000,22,13665600,Tarjeta debito,3
V-1426,08-03-2026,Cali,Perifericos,Teclado mecanico,6,289000,19,1404540,PSE,4
V-1182,2026-04-19,Pereira,Perifericos,Monitor 27 pulgadas,6,1090000,19,$ 5.297.400,Tarjeta credito,4
V-1351,20/04/2026,Cartagena,Accesorios,Maletin para portatil,3,169000,5,481650,Efectivo,5
V-1195,2026-01-18,Medellin,Perifericos,Monitor 27 pulgadas,4,1090000,21,3444400,Transferencia,5
V-1428,2026-05-17,  CARTAGENA ,Perifericos,Monitor 27 pulgadas,5,,20,4360000,Efectivo,3
V-1158,2026-06-16,  MEDELLIN ,accesorios,Base refrigerante,6,139000,17,$ 692.220,Tarjeta credito,5
V-1325,2026-05-24,Bogota,audio,Parlante portatil,5,259000,5,1230250,Tarjeta credito,5
V-1095,19/05/2026,Bogota,perifericos,Teclado mecanico,-4,289000,6,1086640,PSE,5
V-1260,07/02/2026,Bucaramanga,Audio,Parlante portatil,10,259000,22,2020200,PSE,3
V-1354,04/03/2026,Cali,Accesorios,Maletin para portatil,6,169000,23,780780,Efectivo,5
V-1275,16-04-2026,Barranquilla,Almacenamiento,Memoria USB 128 GB,12,79000,35,616200,Efectivo,3
V-1099,26-03-2026,  PEREIRA ,Computadores,Todo en uno 24,9,2190000,26,14585400,Tarjeta credito,4
V-1013,2026-06-19,Cali,Audio,Parlante portatil,7,259000,19,$ 1.468.530,Tarjeta debito,4
V-1465,2026-07-20,Medellin,Almacenamiento,Memoria USB 128 GB,5,79000,11,351550,Transferencia,4
V-1380,2026-03-29,Bucaramanga,Perifericos,Monitor 27 pulgadas,12,1090000,34,8632800,Tarjeta debito,2
V-1106,2026-03-13,  MEDELLIN ,Audio,Audifonos bluetooth,7,349000,38,1514660,Tarjeta credito,3
V-1076,2026-07-09,Pereira,almacenamiento,Memoria USB 128 GB,7,79000,26,409220,Transferencia,5
V-1429,2026-01-08,Medellin,Accesorios,Base refrigerante,4,139000,8,511520,PSE,4
V-1074,2026-08-30,Medellin,Audio,Audifonos bluetooth,4,349000,6,1312240,Tarjeta credito,4
V-1100,2026-06-16,  BARRANQUILLA ,Perifericos,Mouse inalambrico,7,96000,26,$ 497.280,Tarjeta credito,
V-1094,26/06/2026,  PEREIRA ,Perifericos,Monitor 27 pulgadas,8,1090000,26,6452800,Tarjeta credito,5
V-1276,06/06/2026,Pereira,Accesorios,Base refrigerante,4,139000,5,$ 528.200,Tarjeta credito,5
V-1213,25-02-2026,Medellin,Accesorios,Base refrigerante,6,139000,10,750600,PSE,3
V-1062,02/07/2026,Barranquilla,Audio,Audifonos bluetooth,2,349000,0,698000,PSE,4
V-1424,2026-05-10,Pereira,Audio,Microfono USB,4,419000,15,1424600,EFECTIVO,5
V-1203,2026-03-27,  MEDELLIN ,Perifericos,Monitor 27 pulgadas,7,$1.090.000,19,6180300,EFECTIVO,5
V-1192,26/07/2026,Barranquilla,Computadores,Portatil 14 pulgadas,5,2450000,20,$ 9.800.000,Tarjeta credito,3
V-1382,27-02-2026,  CALI ,Computadores,Portatil 14 pulgadas,6,2450000,22,$ 11.466.000,Tarjeta debito,5
V-1371,2026-08-13,Bucaramanga,audio,Parlante portatil,5,259000,11,1152550,Transferencia,5
V-1046,2026-07-18,Bogota,Audio,Microfono USB,6,419000,13,2187180,Tarjeta credito,3
V-1420,27/05/2026,  CARTAGENA ,Accesorios,Maletin para portatil,2,169000,9,$ 307.580,Tarjeta credito,5
V-1106,2026-03-13,  MEDELLIN ,Audio,Audifonos bluetooth,7,349000,38,1514660,Tarjeta credito,3
V-1037,2026-08-18,Medellin,Almacenamiento,Disco SSD 1 TB,4,389000,13,1353720,Tarjeta debito,4
V-1057,2026-04-25,Bogota,accesorios,Base refrigerante,10,139000,36,889600,TARJETA CREDITO,4
V-1214,2026-03-31,Cartagena,accesorios,Maletin para portatil,6,169000,22,790920,Transferencia,4
V-1166,2026-01-23,  PEREIRA ,Almacenamiento,Memoria USB 128 GB,5,79000,14,$ 339.700,TARJETA DEBITO,3
V-1448,17/02/2026,Pereira,computadores,Todo en uno 24,5,2190000,20,8760000,PSE,3
V-1255,10-06-2026,Pereira,Perifericos,Monitor 27 pulgadas,5,$1.090.000,17,4523500,Tarjeta credito,5
V-1135,20/01/2026,  BOGOTA ,Computadores,Portatil gamer,10,,30,34230000,PSE,4
V-1159,2026-08-28,Cartagena,Almacenamiento,Disco SSD 1 TB,5,389000,12,1711600,Efectivo,3
V-1317,08/08/2026,Bogota,Audio,Parlante portatil,7,259000,22,1414140,Efectivo,4
V-1341,2026-04-09,Barranquilla,Audio,Parlante portatil,6,259000,18,$ 1.274.280,PSE,5
V-1238,2026-09-06,Cali,Accesorios,Base refrigerante,8,,32,756160,Tarjeta credito,3
V-1234,2026-04-01,Medellin,Accesorios,Maletin para portatil,4,169000,11,601640,TRANSFERENCIA,5
V-1345,29/04/2026,Bogota,Accesorios,Cargador universal,6,119000,16,,Tarjeta credito,5
V-1364,2026-02-17,Cartagena,Audio,Audifonos bluetooth,4,$349.000,14,1200560,Efectivo,5
V-1237,21-07-2026,Barranquilla,Audio,Microfono USB,4,419000,16,$ 1.407.840,PSE,5
V-1384,03/03/2026,Bucaramanga,Audio,Audifonos bluetooth,8,349000,27,$ 2.038.160,PSE,4
V-1449,2026-03-25,  CALI ,Perifericos,Monitor 27 pulgadas,-4,$1.090.000,12,3836800,Tarjeta debito,4
V-1367,2026-06-30,Cartagena,Audio,Audifonos bluetooth,2,349000,2,684040,TRANSFERENCIA,5
V-1363,2026-02-06,  BARRANQUILLA ,Accesorios,Cargador universal,3,119000,2,349860,Transferencia,5
V-1220,2026-05-28,Barranquilla,Accesorios,Maletin para portatil,10,169000,37,1064700,Tarjeta debito,4
V-1422,2026-02-27,Cali,computadores,Todo en uno 24,2,2190000,9,$ 3.985.800,PSE,5
V-1175,2026-05-21,  BOGOTA ,accesorios,Cargador universal,7,119000,20,666400,Tarjeta debito,5
V-1322,10-09-2026,  BOGOTA ,Accesorios,Base refrigerante,6,139000,13,725580,Transferencia,4
V-1189,2026-02-26,Bogota,Perifericos,Teclado mecanico,5,289000,11,1286050,Tarjeta credito,3
V-1126,2026-05-28,Barranquilla,Accesorios,Maletin para portatil,4,169000,6,,Tarjeta credito,3
V-1263,2026-07-13,  BOGOTA ,Accesorios,Base refrigerante,7,139000,20,778400,Efectivo,3
V-1258,2026-05-08,Cali,perifericos,Monitor 27 pulgadas,3,$1.090.000,3,3171900,PSE,4
V-1165,2026-04-12,Barranquilla,Audio,Audifonos bluetooth,-9,349000,33,$ 2.104.470,Tarjeta credito,4
V-1153,2026-01-22,Cali,Accesorios,Cargador universal,9,119000,23,824670,Efectivo,3
V-1002,29/05/2026,Cali,Audio,Audifonos bluetooth,7,349000,28,1758960,TRANSFERENCIA,4
